ABLG,SIN,CollectionDate,Location,Set,Species,Total Length,GCard,G#,Purpose,Genetics to Process,Lat,Long,Genetic_ID
44873,n/a,7/6/24,Uganik,2,Pacific cod,26,3,25,ID,1,57.784456,153.540308,Gadus macrocephalus
44874,n/a,7/6/24,Uganik,2,Pacific cod,26,3,26,ID,1,57.784456,153.540308,Gadus chalcogrammus
44875,n/a,7/6/24,Uganik,2,Pacific cod,27,3,32,ID,1,57.784456,153.540308,Gadus chalcogrammus
44876,n/a,7/6/24,Uganik,2,Pacific cod,31,3,29,ID,1,57.784456,153.540308,Gadus macrocephalus
44877,n/a,7/6/24,Uganik,2,Pacific cod,31,3,30,ID,1,57.784456,153.540308,Gadus macrocephalus
44878,n/a,7/6/24,Uganik,2,Pacific cod,35,3,31,ID,1,57.784456,153.540308,Gadus chalcogrammus
44879,n/a,7/6/24,Uganik,2,Pacific cod,37,3,27,ID,1,57.784456,153.540308,Gadus macrocephalus
44880,n/a,7/6/24,Uganik,2,Pacific cod,39,3,28,ID,1,57.784456,153.540308,Gadus chalcogrammus
44881,n/a,7/8/24,Uyak,4,Pacific cod,25,3,39,ID,1,57.536335,153.846638,Gadus macrocephalus
44882,n/a,7/7/24,Viekoda,4,Pacific cod,26,3,34,ID,1,57.812637,153.202854,Gadus macrocephalus
44883,n/a,7/7/24,Viekoda,4,Pacific cod,30,3,35,ID,1,57.812637,153.202854,Gadus macrocephalus
44884,n/a,7/12/24,Castle Bay,4,Pacific cod?,29,3,43,ID,1,56.230263,158.349603,Gadus macrocephalus
44885,n/a,7/2/24,Izhut,1,Pacific cod?,59,3,19,ID,1,58.26088056,152.247425,Eleginus gracilis
44886,n/a,7/4/24,Kukak,1,Pacific cod?,?,3,20,ID,1,58.31053056,154.1976056,Gadus macrocephalus
44887,n/a,7/4/24,Kukak,1,Pacific cod?,?,3,21,ID,1,58.31053056,154.1976056,Gadus macrocephalus
44888,n/a,7/4/24,Kukak,1,Pacific cod?,?,3,22,ID,1,58.31053056,154.1976056,Gadus chalcogrammus
44889,454648,7/3/24,Phoenix,3,Pacific cod?,26,2,16,ID,1,58.413926,152.312139,Gadus macrocephalus
44890,n/a,6/8/24,Sinitsin,1,Pacific cod?,32,3,10,ID,1,57.328598,135.738585,Gadus macrocephalus
44891,n/a,6/8/24,Sinitsin,1,Pacific cod?,33,3,11,ID,1,57.328598,135.738585,Gadus macrocephalus
44892,n/a,6/8/24,Sinitsin,1,Pacific cod?,33,3,12,ID,1,57.328598,135.738585,Gadus macrocephalus
44893,n/a,6/8/24,Sinitsin,1,Pacific cod?,35,3,8,ID,1,57.328598,135.738585,Gadus macrocephalus
44894,n/a,6/8/24,Sinitsin,1,Pacific cod?,39,3,9,ID,1,57.328598,135.738585,Gadus macrocephalus
44895,n/a,7/7/24,Viekoda,3,Pacific cod?,28,3,33,ID,1,57.821526,153.206861,Gadus macrocephalus
44896,n/a,7/20/24,Port Chatham,4,Pollock,63,?,?,ID,1,59.222949,151.728392,NA
44897,n/a,7/8/24,Uyak,4,Pollock ,28,3,41,ID,1,57.536335,153.846638,Gadus macrocephalus
44898,n/a,7/8/24,Uyak,4,Pollock ,30,3,40,ID,1,57.536335,153.846638,Gadus chalcogrammus
